tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20180101,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9172.96,117.89,1.3,2150969114.0,411.06,50.0,13.32,2018-01-01,13.32,411.06
20180102,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9172.96,117.89,1.3,2150969114.0,411.06,50.0,13.32,2018-01-02,13.32,411.06
20180103,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9215.25,42.29,0.46,2017704898.0,447.24,50.0,13.35,2018-01-03,13.35,447.24
20180104,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9250.18,34.93,0.38,1875767460.0,384.57,50.0,13.51,2018-01-04,13.51,384.57
20180105,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9352.82,102.64,1.11,2594775514.0,418.14,50.0,13.64,2018-01-05,13.64,418.14
20180108,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9458.96,106.14,1.13,2706579767.0,487.05,50.0,13.7,2018-01-08,13.7,487.05
20180109,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9480.93,21.97,0.23,1940652674.0,406.09,50.0,13.84,2018-01-09,13.84,406.09
20180110,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9507.71,26.78,0.28,2679577097.0,459.42,50.0,14.0,2018-01-10,14.0,459.42
20180111,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9469.48,-38.23,-0.4,1660709046.0,351.92,50.0,13.97,2018-01-11,13.97,351.92
20180112,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9515.22,45.74,0.48,1758492663.0,388.2,50.0,14.13,2018-01-12,14.13,388.2
20180115,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9527.96,12.75,0.13,2884985927.0,600.93,50.0,14.31,2018-01-15,14.31,600.93
20180116,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9683.76,155.79,1.64,3161505081.0,611.92,50.0,14.32,2018-01-16,14.32,611.92
20180117,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9653.23,-30.52,-0.32,3809802118.0,702.95,50.0,14.22,2018-01-17,14.22,702.95
20180118,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,,,,9669.41,16.18,0.17,3868448981.0,698.63,50.0,14.29,2018-01-18,14.29,698.63
